Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2019-03-08;0;25,4;
2019-03-09;0;25,9;
2019-03-10;0;26,4;
2019-03-11;27,6;23,1;
2019-03-12;3,6;23,6;
2019-03-13;0;23,3;
2019-03-14;0;22,2;
2019-03-15;4;22,6;
2019-03-16;4;24,5;
2019-03-17;27,4;23,3;
2019-03-18;3,6;25,1;
2019-03-19;0;24,1;
2019-03-20;0;24,1;
2019-03-21;6,2;23,6;
2019-03-22;51,4;20,4;
2019-03-23;0;21,7;
2019-03-24;0;23,1;
2019-03-25;0;23,4;
2019-03-26;0;23,7;
2019-03-27;0;23,5;
2019-03-28;0;22,9;
2019-03-29;0;22,8;
2019-03-30;0;22,4;
2019-03-31;0;22,9;
2019-04-01;0;21,9;
2019-04-02;4;23,2;
2019-04-03;0;23,4;
2019-04-04;0;24,6;
2019-04-05;0;25,7;
2019-04-06;0;24,6;
2019-04-07;0;24;
2019-04-08;0;22,5;
2019-04-09;11,2;22,4;
2019-04-10;4,2;22,7;
2019-04-11;0;22,6;
2019-04-12;0;23,2;
2019-04-13;0;24;
2019-04-14;0;22,8;
2019-04-15;5;22,3;
2019-04-16;50;22,1;
2019-04-17;12,6;22,4;
2019-04-18;1,4;22,6;
2019-04-19;0;21,1;
2019-04-20;0;21,1;
2019-04-21;0;21,9;
2019-04-22;0;22,5;
2019-04-23;0;22,8;
2019-04-24;0;23,7;
2019-04-25;0;22,9;
2019-04-26;0;22,6;
2019-04-27;0;23,1;
2019-04-28;0;23,5;
2019-04-29;,2;22,5;
2019-04-30;3,4;21,2;
2019-05-01;0;21,6;
2019-05-02;0;22,5;
2019-05-03;4,2;22,3;
2019-05-04;,8;22,7;
2019-05-05;0;23,3;
2019-05-06;0;22,2;
2019-05-07;0;22,6;
2019-05-08;0;22,2;
2019-05-09;0;21;
2019-05-10;0;20,6;
2019-05-11;0;20,9;
2019-05-12;0;21,7;
